Insee code,Postal code,City Name,Department,Population,Number of Building Permit,Building Score,GeoPoint
94069,94410,SAINT-MAURICE,VAL-DE-MARNE,14.4,224,15.555556,"48.8184921372,2.4374501342"
92009,92270,BOIS-COLOMBES,HAUTS-DE-SEINE,28.2,46,1.6312057,"48.9153368426,2.26738552597"
95268,95140,GARGES-LES-GONESSE,VAL-D'OISE,40.2,302,7.512438,"48.9701231267,2.40534038501"
94003,94110,ARCUEIL,VAL-DE-MARNE,19.5,503,25.794872,"48.8058803597,2.33351024984"
91228,91000,EVRY,ESSONNE,52.4,753,14.370229,"48.6294831659,2.44008244492"
93071,93270,SEVRAN,SEINE-SAINT-DENIS,50.0,534,10.68,"48.9386070153,2.53124057567"
93079,93430,VILLETANEUSE,SEINE-SAINT-DENIS,12.8,119,9.296875,"48.9572976501,2.34506633651"
77305,77130,MONTEREAU-FAULT-YONNE,SEINE-ET-MARNE,16.3,288,17.668713,"48.3898830911,2.96155479657"
78551,78100,SAINT-GERMAIN-EN-LAYE,YVELINES,40.9,820,20.048899,"48.9407041394,2.09870929375"
92012,92100,BOULOGNE-BILLANCOURT,HAUTS-DE-SEINE,113.1,777,6.8700266,"48.8365843138,2.23913599058"
95323,95280,JOUY-LE-MOUTIER,VAL-D'OISE,16.7,468,28.02395,"49.0113625056,2.03408317867"
91657,91270,VIGNEUX-SUR-SEINE,ESSONNE,27.1,418,15.424354,"48.7037445355,2.42793203784"
75116,75016,PARIS-16E-ARRONDISSEMENT,PARIS,169.4,131,0.77331764,"48.8603987604,2.2620995594"
77118,77410,CLAYE-SOUILLY,SEINE-ET-MARNE,11.1,626,56.396393,"48.9429697515,2.67523211808"
93057,93320,LES PAVILLONS-SOUS-BOIS,SEINE-SAINT-DENIS,21.2,829,39.10377,"48.9082060253,2.50297448267"
91286,91350,GRIGNY,ESSONNE,26.9,308,11.449814,"48.6568896116,2.38789647858"
93013,93350,LE BOURGET,SEINE-SAINT-DENIS,14.3,365,25.524475,"48.9361847458,2.42827855593"
92023,92140,CLAMART,HAUTS-DE-SEINE,52.6,5204,98.93536,"48.7964306792,2.25474652922"
93046,93190,LIVRY-GARGAN,SEINE-SAINT-DENIS,41.2,1843,44.73301,"48.9197633213,2.53486592332"
92078,92390,VILLENEUVE-LA-GARENNE,HAUTS-DE-SEINE,24.9,137,5.502008,"48.9364061917,2.32448995943"
78650,78110,LE VESINET,YVELINES,16.2,632,39.012344,"48.8938640591,2.13039312004"
94058,94170,LE PERREUX-SUR-MARNE,VAL-DE-MARNE,32.2,1328,41.242233,"48.8423952383,2.50406848573"
77514,77270,VILLEPARISIS,SEINE-ET-MARNE,24.1,438,18.174274,"48.9419981883,2.61700200964"
95598,95230,SOISY-SOUS-MONTMORENCY,VAL-D'OISE,17.2,155,9.011627,"48.9884077875,2.30049978342"
75105,75005,PARIS-5E-ARRONDISSEMENT,PARIS,61.5,9,0.14634146,"48.8445086596,2.34985938556"
94073,94320,THIAIS,VAL-DE-MARNE,29.5,958,32.474575,"48.7607841928,2.38537729524"
95203,95600,EAUBONNE,VAL-D'OISE,23.9,534,22.343096,"48.9909940165,2.27800925488"
92035,92250,LA GARENNE-COLOMBES,HAUTS-DE-SEINE,27.1,699,25.793358,"48.9067577111,2.24464604084"
93072,93240,STAINS,SEINE-SAINT-DENIS,34.0,409,12.029411,"48.9567775699,2.3854495629"
95555,95210,SAINT-GRATIEN,VAL-D'OISE,20.3,200,9.852217,"48.9689724948,2.28518003438"
92024,92110,CLICHY,HAUTS-DE-SEINE,58.2,2936,50.446735,"48.9035359139,2.30575230452"
92002,92160,ANTONY,HAUTS-DE-SEINE,61.4,778,12.671009,"48.7503412602,2.2993268102"
92060,92350,LE PLESSIS-ROBINSON,HAUTS-DE-SEINE,26.6,461,17.330828,"48.7804383642,2.26064286011"
75106,75006,PARIS-6E-ARRONDISSEMENT,PARIS,43.1,49,1.136891,"48.8489680919,2.33267089859"
92071,92330,SCEAUX,HAUTS-DE-SEINE,19.3,376,19.481867,"48.776816369,2.29529414514"
77122,77380,COMBS-LA-VILLE,SEINE-ET-MARNE,21.4,588,27.476637,"48.657908631,2.57516916269"
91386,91540,MENNECY,ESSONNE,13.3,472,35.48872,"48.5586242184,2.43753236038"
93014,93390,CLICHY-SOUS-BOIS,SEINE-SAINT-DENIS,30.0,51,1.7,"48.9076285106,2.5462022266"
95500,95000/95300,PONTOISE,VAL-D'OISE,29.8,559,18.75839,"49.0513737853,2.09487928948"
95607,95150,TAVERNY,VAL-D'OISE,26.1,282,10.804598,"49.0267316203,2.22116067166"
78208,78990,ELANCOURT,YVELINES,27.3,260,9.523809,"48.7781596518,1.96049898519"
75117,75017,PARIS-17E-ARRONDISSEMENT,PARIS,168.5,710,4.2136497,"48.8873371665,2.30748555949"
92046,92240,MALAKOFF,HAUTS-DE-SEINE,31.0,361,11.645162,"48.8169695977,2.29693599517"
93061,93310,LE PRE-SAINT-GERVAIS,SEINE-SAINT-DENIS,18.1,88,4.8618784,"48.8846734877,2.40542232961"
78123,78955,CARRIERES-SOUS-POISSY,YVELINES,15.0,642,42.8,"48.9455638989,2.02913706544"
93047,93370,MONTFERMEIL,SEINE-SAINT-DENIS,24.7,788,31.902834,"48.8982616679,2.56714354796"
94004,94470,BOISSY-SAINT-LEGER,VAL-DE-MARNE,16.2,394,24.320986,"48.7470359922,2.52528049019"
94037,94250,GENTILLY,VAL-DE-MARNE,17.5,719,41.085712,"48.8132044389,2.34420659702"
93050,93330,NEUILLY-SUR-MARNE,SEINE-SAINT-DENIS,33.2,2132,64.216866,"48.8624578581,2.54000288785"
77243,77400,LAGNY-SUR-MARNE,SEINE-ET-MARNE,20.2,583,28.861385,"48.8730701858,2.70978081313"
75120,75020,PARIS-20E-ARRONDISSEMENT,PARIS,197.1,730,3.7037036,"48.8631867774,2.40081982673"
94015,94360,BRY-SUR-MARNE,VAL-DE-MARNE,15.3,669,43.72549,"48.8384095661,2.52319657626"
94059,94420,LE PLESSIS-TREVISE,VAL-DE-MARNE,18.9,645,34.126984,"48.8060154583,2.57619846918"
77108,77500,CHELLES,SEINE-ET-MARNE,52.6,729,13.859316,"48.883962967,2.59686448583"
78640,78140,VELIZY-VILLACOUBLAY,YVELINES,19.9,695,34.924625,"48.783985823,2.19707485523"
95063,95870,BEZONS,VAL-D'OISE,28.0,2478,88.5,"48.9259810125,2.21133387765"
95313,95290,L'ISLE-ADAM,VAL-D'OISE,11.6,335,28.879309,"49.1072255924,2.23436241795"
95127,95000/95800,CERGY,VAL-D'OISE,57.2,2753,48.12937,"49.0401131567,2.05082123731"
78517,78120,RAMBOUILLET,YVELINES,26.1,560,21.455938,"48.6539051954,1.82652871851"
78586,78500,SARTROUVILLE,YVELINES,51.5,1394,27.06796,"48.9396085498,2.17458686513"
92036,92230,GENNEVILLIERS,HAUTS-DE-SEINE,41.4,819,19.782608,"48.9345190548,2.29384987973"
93073,93290,TREMBLAY-EN-FRANCE,SEINE-SAINT-DENIS,35.0,474,13.542857,"48.9784304121,2.55468501543"
94052,94130,NOGENT-SUR-MARNE,VAL-DE-MARNE,31.0,456,14.709678,"48.8366634713,2.48166741533"
92025,92700,COLOMBES,HAUTS-DE-SEINE,84.6,2771,32.75414,"48.9225179147,2.24675160629"
78146,78400,CHATOU,YVELINES,29.8,157,5.2684565,"48.8965574645,2.15393458329"
78418,78360,MONTESSON,YVELINES,15.4,316,20.519482,"48.9172263937,2.1399267913"
93048,93100,MONTREUIL,SEINE-SAINT-DENIS,103.2,2948,28.565893,"48.8633175054,2.44816211857"
91549,91700,SAINTE-GENEVIEVE-DES-BOIS,ESSONNE,34.1,524,15.3665695,"48.6412523804,2.33019417891"
92072,92310,SEVRES,HAUTS-DE-SEINE,22.9,153,6.681223,"48.821476509,2.21052297438"
95680,95400,VILLIERS-LE-BEL,VAL-D'OISE,27.0,699,25.88889,"49.0084494157,2.40385604039"
94038,94240,L'HAY-LES-ROSES,VAL-DE-MARNE,29.8,303,10.167786,"48.7763207843,2.33772915609"
94074,94460,VALENTON,VAL-DE-MARNE,12.2,151,12.377049,"48.752872402,2.46129479573"
92050,92000,NANTERRE,HAUTS-DE-SEINE,90.0,1340,14.888889,"48.8960701282,2.20671346353"
95424,95370,MONTIGNY-LES-CORMEILLES,VAL-D'OISE,18.7,230,12.299465,"48.9938035561,2.19351793046"
77288,77000,MELUN,SEINE-ET-MARNE,39.4,2150,54.568527,"48.5444723553,2.65795821917"
94041,94200,IVRY-SUR-SEINE,VAL-DE-MARNE,57.3,3772,65.82897,"48.8128063812,2.38778023612"
77390,77680,ROISSY-EN-BRIE,SEINE-ET-MARNE,22.2,501,22.567566,"48.7900855424,2.66122415764"
75110,75010,PARIS-10E-ARRONDISSEMENT,PARIS,95.9,103,1.0740354,"48.8760285569,2.36111290456"
78490,78370,PLAISIR,YVELINES,30.7,212,6.905537,"48.8126082296,1.94698515715"
78311,78800,HOUILLES,YVELINES,31.0,537,17.32258,"48.9265781359,2.1874640255"
75118,75018,PARIS-18E-ARRONDISSEMENT,PARIS,200.6,1289,6.4257226,"48.8927350746,2.34871193387"
75107,75007,PARIS-7E-ARRONDISSEMENT,PARIS,57.4,279,4.860627,"48.8560825982,2.31243868773"
78498,78300,POISSY,YVELINES,37.8,927,24.52381,"48.9235359371,2.02715552772"
78124,78420,CARRIERES-SUR-SEINE,YVELINES,15.2,188,12.368422,"48.9119335064,2.17838235323"
93059,93380,PIERREFITTE-SUR-SEINE,SEINE-SAINT-DENIS,28.3,412,14.558304,"48.9609833355,2.36328125445"
93051,93160,NOISY-LE-GRAND,SEINE-SAINT-DENIS,63.4,3972,62.64984,"48.8361825401,2.56443736814"
94016,94230,CACHAN,VAL-DE-MARNE,27.8,391,14.064749,"48.7916121646,2.33153313164"
92014,92340,BOURG-LA-REINE,HAUTS-DE-SEINE,19.8,341,17.222223,"48.7799073627,2.31643010763"
93062,93340,LE RAINCY,SEINE-SAINT-DENIS,13.8,307,22.246376,"48.8967447585,2.51973664021"
75108,75008,PARIS-8E-ARRONDISSEMENT,PARIS,40.3,103,2.5558314,"48.8725272666,2.31258256042"
77083,77420,CHAMPS-SUR-MARNE,SEINE-ET-MARNE,24.3,1537,63.25103,"48.8483311726,2.59610325483"
93030,93440,DUGNY,SEINE-SAINT-DENIS,10.5,1139,108.47619,"48.9503408732,2.4238637503"
78015,78570,ANDRESY,YVELINES,12.2,476,39.016396,"48.9815454378,2.05025746939"
77333,77140,NEMOURS,SEINE-ET-MARNE,12.7,119,9.370079,"48.2596067909,2.71107993087"
92048,92190/92360,MEUDON,HAUTS-DE-SEINE,44.7,1760,39.3736,"48.8037275796,2.22696287829"
75119,75019,PARIS-19E-ARRONDISSEMENT,PARIS,184.8,1429,7.7326837,"48.886868623,2.38469432787"
78073,78390,BOIS-D'ARCY,YVELINES,13.6,851,62.57353,"48.8044185716,2.01911294303"
78172,78700,CONFLANS-SAINTE-HONORINE,YVELINES,35.3,540,15.297451,"49.0001007823,2.0990719052"
92062,92800,PUTEAUX,HAUTS-DE-SEINE,44.9,780,17.371937,"48.8837094969,2.23834178314"
92026,92400,COURBEVOIE,HAUTS-DE-SEINE,86.9,2147,24.706558,"48.8984504771,2.25570587289"
93063,93230,ROMAINVILLE,SEINE-SAINT-DENIS,25.8,2187,84.76744,"48.8852118968,2.43767884231"
92073,92150,SURESNES,HAUTS-DE-SEINE,46.1,1760,38.177876,"48.8698479132,2.21965517625"
95582,95110,SANNOIS,VAL-D'OISE,25.9,655,25.289576,"48.9717773111,2.25299514112"
93005,93600,AULNAY-SOUS-BOIS,SEINE-SAINT-DENIS,82.5,1073,13.006061,"48.9458384367,2.49329041687"
93027,93120,LA COURNEUVE,SEINE-SAINT-DENIS,37.7,255,6.7639256,"48.9322569546,2.39978064801"
91182,91080,COURCOURONNES,ESSONNE,14.0,4,0.2857143,"48.6216349774,2.41288009058"
77407,77310,SAINT-FARGEAU-PONTHIERRY,SEINE-ET-MARNE,12.2,123,10.081967,"48.5390914714,2.52499710746"
91377,91300,MASSY,ESSONNE,40.5,2561,63.23457,"48.7277896426,2.27513131903"
92040,92130,ISSY-LES-MOULINEAUX,HAUTS-DE-SEINE,64.0,1954,30.53125,"48.82347434,2.26449823277"
94042,94340,JOINVILLE-LE-PONT,VAL-DE-MARNE,17.6,163,9.261363,"48.8193683216,2.47044977809"
77058,77600,BUSSY-SAINT-GEORGES,SEINE-ET-MARNE,22.2,1538,69.279274,"48.8308269318,2.7225014237"
75111,75011,PARIS-11E-ARRONDISSEMENT,PARIS,152.7,214,1.4014407,"48.8594154976,2.37874106024"
92051,92200,NEUILLY-SUR-SEINE,HAUTS-DE-SEINE,60.5,112,1.8512397,"48.8853719688,2.26642584746"
77487,77000,VAUX-LE-PENIL,SEINE-ET-MARNE,11.2,77,6.875,"48.5245871061,2.69727154378"
78686,78220,VIROFLAY,YVELINES,15.9,452,28.427673,"48.802404069,2.17151291149"
91223,91150,ETAMPES,ESSONNE,22.2,713,32.117115,"48.4211282308,2.13838881712"
94028,94000,CRETEIL,VAL-DE-MARNE,89.4,1059,11.845637,"48.7837401836,2.45463530415"
95197,95170,DEUIL-LA-BARRE,VAL-D'OISE,21.7,437,20.138248,"48.9712690171,2.32616290144"
91201,91210,DRAVEIL,ESSONNE,28.6,339,11.853147,"48.6778413772,2.42197801862"
95018,95100,ARGENTEUIL,VAL-D'OISE,102.8,1305,12.694552,"48.9511344629,2.2410409502"
91432,91420,MORANGIS,ESSONNE,11.9,417,35.04202,"48.702703885,2.33614296581"
95252,95130,FRANCONVILLE,VAL-D'OISE,33.3,1184,35.555557,"48.9884161105,2.2238932062"
78642,78480,VERNEUIL-SUR-SEINE,YVELINES,15.2,331,21.776316,"48.9872093367,1.96276532174"
78158,78150,LE CHESNAY,YVELINES,29.2,383,13.116438,"48.8272397742,2.13014908209"
77014,77210,AVON,SEINE-ET-MARNE,13.9,308,22.158274,"48.4129699101,2.73351873997"
92004,92600,ASNIERES-SUR-SEINE,HAUTS-DE-SEINE,81.6,4632,56.764706,"48.9153530123,2.2880384663"
94017,94500,CHAMPIGNY-SUR-MARNE,VAL-DE-MARNE,75.1,3203,42.6498,"48.817254364,2.51709815257"
93049,93360,NEUILLY-PLAISANCE,SEINE-SAINT-DENIS,20.3,740,36.453205,"48.8643287852,2.51040249898"
91421,91230,MONTGERON,ESSONNE,22.9,295,12.882096,"48.6951531801,2.46249881778"
93031,93800,EPINAY-SUR-SEINE,SEINE-SAINT-DENIS,53.8,687,12.769517,"48.9550132062,2.31453043231"
78126,78170,LA CELLE-SAINT-CLOUD,YVELINES,20.8,119,5.721154,"48.8469487124,2.13519126228"
